G03,Addi,Addison Road|Addison Rd|Addison
F06,Anac,Anacostia
F02,Arch,Archives
C06,Arli,Arlington Cemetery
N12,Ashb,Ashburn
K04,Ball,Ballston
G01,Benn,Benning Road|Benning Rd|Benning
A09,Beth,Bethesda
C12,Brad,Braddock Road|Braddock Rd|Braddock
F11,BrAv,Branch Avenue|Branch Ave
B05,Brk,Brookland
G02,CapH,Capitol Heights
D05,CapS,Capitol South
D11,Chev,Cheverly
K02,Clar,Clarendon
A05,Clev,Cleveland Park
E09,ColP,College Park
E04,ColH,Columbia Heights|CoHi|Co Hi
F07,ConH,Congress Heights
K01,CrtH,Court House|Courthouse
C09,Crys,Crystal City
D10,Dean,Deanwood
N10,IAD,Dulles International Airport|Dulles Airport|Washington Dulles|Dulles|IAD
K07,Dunn,Dunn Loring
A03,DupC,Dupont Circle|Dupont|DuPont
K05,EFC,East Falls Church|EFC|E Falls Church
D06,EMkt,Eastern Market|E Market
C14,EisA,Eisenhower Avenue|Eisenhower Ave|Eisenhower
A02,FarN,Farragut North|Farragut N|F North
C03,FarW,Farragut West|Farragut W|F West
D04,FedC,Federal Center SW|Federal Center|Fed Center|Fed Ctr
D01,FedT,Federal Triangle|Fed Triangle
C04,FogB,Foggy Bottom-GWU|Foggy Bottom
B09,ForG,Forest Glen
B06|E06,ForT,Fort Totten
J03,FrSp,Franconia-Springfield|Franconia|Springfield
A08,FndH,Friendship Heights|Friendship Hghts|Friendship Hgts|Friendship Hts
B01|F01,GalP,Gallery Place|Gallery Pl|Chinatown|Gallery
E05,GAv,Georgia Avenue-Petworth|Georgia Avenue|Georgia Ave|Petworth
B11,Glen,Glenmont
N03,Grnb,Greensboro
E10,Grnb,Greenbelt
A11,Grov,Grosvenor-Strathmore|Grosvenor
N08,Hern,Herndon
C15,Hunt,Huntington
N09,Inno,Innovation Center
B02,JdSq,Judiciary Square|Judiciary Sq|Judiciary|Judy
C13,KgSt,King Street-Old Town|King Street|King St
D03|F03,LPla,L'Enfant Plaza|L'Enfant|Lenfant
D12,Land,Landover
G05,Lrgo,Downtown Largo|Largo Town Center|Largo
N11,Loud,Loudoun Gateway|Loudoun
N01,McLn,McLean
C02,McPh,McPherson Square|McPherson Sq|McPherson
A10,MedC,Medical Center|Medical Ctr
C01|A01,MetC,Metro Center|Metro Ctr
D09,MnAv,Minnesota Avenue|Minnesota Ave|Minnesota
G04,MBvd,Morgan Boulevard|Morgan Blvd
E01,MVSq,Mount Vernon Square|Mount Vernon Sq|Mount Vernon|Mt Vernon Sq
F05,Navy,Navy Yard|Ballpark
F09,NlRd,Naylor Road|Naylor Rd|Naylor
D13,NewC,New Carrollton
B35,NoMa,NoMa-Gallaudet U|NoMa-Gallaudet|NoMa|Gallaudet|No Ma
C08,PenC,Pentagon City
C07,Pent,Pentagon
D07,PtAv,Potomac Avenue|Potomac Ave
E08,Hyat,Hyattsville Crossing|Hyattsville|Prince George's Plaza|Prince George|PG Plaza
N07,Rest,Reston Town Center
B04,Rhod,Rhode Island Avenue-Brentwood|Rhode Island Ave|Rhode Island|R.I. Ave|Brentwood|RIA
A14,Rock,Rockville
C10,DCA,Ronald Reagan Washington National Airport|DCA|National Airport|Reagan|Airport
C05,Ross,Rosslyn
A15,ShGr,Shady Grove
E02,Shaw,Shaw-Howard University|Shaw|Howard University|Howard
B08,SSpg,Silver Spring
D02,Smth,Smithsonian
F08,SoAv,Southern Avenue|Southern Ave
N04,SpgH,Spring Hill
D08,StdA,Stadium-Armory|Stadium
F10,Suit,Suitland
B07,Tkma,Takoma
A07,Tnly,Tenleytown-AU|Tenleytown
A13,Twbk,Twinbrook
N02,Tysn,Tysons|Tysons Corner
E03,U St,U Street|U St
B03,USta,Union Station
J02,VanD,Van Dorn Street|Van Dorn St|Van Dorn
A06,VanN,Van Ness-UDC|Van Ness
K08,Vien,Vienna/Fairfax-GMU|Vienna
K03,VSq,Virginia Square-GMU|Virginia Square|Virginia Sq|VA Square|VA Sq
F04,Watr,Waterfront
K06,WFC,West Falls Church|WFC|W Falls Church
E07,WstH,West Hyattsville|Hyattsville|W Hyattsville
B10,Whtn,Wheaton
A12,NoBe,North Bethesda|White Flint
N06,WRE,Wiehle-Reston East|Wiehle-Reston|Wiehle|Reston
A04,WdPk,Woodley Park